ric,data_load,capitalization,current_price,ticker
HYD.Z,2026-03-31,4.030707,50.21,HYD.Z
HYDB.Z,2026-03-31,1.559808,46.34,HYDB.Z
HYG.P,2026-03-31,15.872334,79.23,HYG.P
HYGV.P,2026-03-31,1.10227,39.86,HYGV.P
HYLB.P,2026-03-31,3.086464,36.23,HYLB.P
HYLS.OQ,2026-03-31,1.743915,40.39,HYLS.OQ
HYMB.P,2026-03-31,2.902368,24.79,HYMB.P
HYS.P,2026-03-31,1.593064,93.03,HYS.P
HYT.N,2026-03-31,1.345146,8.39,HYT.N
IAGG.Z,2026-03-31,12.738908,49.92,IAGG.Z
IAI.P,2026-03-31,1.492821,160.92,IAI.P
IAU.P,2026-03-31,68.852751,86.68,IAU.P
IAUM.P,2026-03-31,7.092,45.91,IAUM.P
IBB.OQ,2026-03-31,7.809745,166.45,IBB.OQ
IBDR.P,2026-03-31,3.68296,24.24,IBDR.P
IBDS.P,2026-03-31,3.76673,24.22,IBDS.P
IBDT.P,2026-03-31,3.809696,25.31,IBDT.P
IBDU.P,2026-03-31,3.702284,23.24,IBDU.P
IBDV.P,2026-03-31,2.99314,21.86,IBDV.P
IBDW.P,2026-03-31,2.301715,20.91,IBDW.P
IBDX.P,2026-03-31,1.622142,25.24,IBDX.P
IBDY.P,2026-03-31,1.041255,25.79,IBDY.P
IBHF.Z,2026-03-31,1.022901,22.96,IBHF.Z
IBIT.OQ,2026-03-31,51.98785,38.0,IBIT.OQ
IBTG.OQ,2026-03-31,2.354516,22.91,IBTG.OQ
IBTH.OQ,2026-03-31,2.097859,22.44,IBTH.OQ
IBTI.OQ,2026-03-31,1.60976,22.28,IBTI.OQ
IBTJ.OQ,2026-03-31,1.228184,21.84,IBTJ.OQ
ICF.Z,2026-03-31,1.921395,61.29,ICF.Z
ICLN.OQ,2026-03-31,2.074935,17.78,ICLN.OQ
ICOW.Z,2026-03-31,1.630557,42.16,ICOW.Z
ICSH.Z,2026-03-31,7.153724,50.62,ICSH.Z
